epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_rmse, e/N_rmse
    1,   510,         0.038735,         0.038592,       0.00014355,           2.0493,           3.0697,           4.1189,          0.18722
    1,   511,         0.041732,         0.041601,       0.00013143,           2.1872,           3.1871,           3.9412,          0.17914
    1,   512,         0.035153,         0.035011,       0.00014197,           1.9257,           2.9238,           4.0961,          0.18619
    1,   513,         0.028255,         0.028216,       3.9594e-05,           1.8425,           2.6248,           2.1631,         0.098323
    1,   514,         0.024723,         0.024692,       3.1151e-05,           1.6908,           2.4554,           1.9187,         0.087212
    1,   515,         0.031601,         0.031574,       2.7147e-05,           1.8468,           2.7766,           1.7912,         0.081419
    1,   516,         0.041514,         0.041437,       7.6494e-05,           2.0491,           3.1808,           3.0066,          0.13667
    1,   517,         0.030274,         0.030263,       1.0843e-05,           1.8505,           2.7183,           1.1321,         0.051457
    1,   518,         0.033284,         0.033222,       6.2119e-05,           1.8969,           2.8481,           2.7095,          0.12316
    1,   519,         0.033213,         0.033169,       4.3981e-05,           1.8324,           2.8458,           2.2797,          0.10362
    1,   520,         0.022717,         0.022624,       9.3174e-05,           1.7325,           2.3503,           3.3182,          0.15083
    1,   521,         0.032207,         0.032157,       5.0308e-05,           1.8688,           2.8021,           2.4382,          0.11083
    1,   522,         0.027135,         0.026941,       0.00019379,            1.812,           2.5648,           4.7855,          0.21752
    1,   523,         0.032968,         0.032876,       9.2106e-05,            1.895,           2.8332,           3.2992,          0.14996
    1,   524,         0.057548,         0.057477,       7.0971e-05,           2.2575,           3.7462,           2.8961,          0.13164
    1,   525,         0.033417,         0.033386,       3.0931e-05,            1.971,           2.8551,           1.9119,         0.086903
    1,   526,         0.019912,         0.019907,       4.8363e-06,           1.4947,           2.2047,          0.75602,         0.034364
    1,   527,         0.040999,         0.040983,       1.6371e-05,           2.0792,           3.1633,           1.3908,         0.063219
    1,   528,         0.042121,         0.042075,        4.585e-05,           2.1237,           3.2052,           2.3278,          0.10581
    1,   529,         0.036249,         0.036095,       0.00015383,           1.9707,           2.9687,           4.2636,           0.1938
    1,   530,         0.019242,         0.018994,       0.00024897,           1.5297,           2.1535,           5.4243,          0.24656
    1,   531,          0.03229,         0.032127,       0.00016246,           1.8885,           2.8008,           4.3818,          0.19917
    1,   532,         0.037014,         0.036885,       0.00012853,           1.9737,            3.001,           3.8972,          0.17715
    1,   533,         0.031217,         0.031179,       3.8245e-05,           1.8864,           2.7591,           2.1259,         0.096633
    1,   534,         0.031345,         0.031308,       3.6665e-05,            1.925,           2.7648,           2.0815,         0.094614
    1,   535,         0.034417,         0.034406,       1.0962e-05,           1.9196,           2.8984,           1.1382,         0.051738
    1,   536,         0.036611,         0.036492,       0.00011938,            2.042,            2.985,           3.7561,          0.17073
    1,   537,         0.035584,         0.035496,       8.7319e-05,           1.9968,            2.944,           3.2124,          0.14602
    1,   538,         0.045733,         0.045699,       3.4389e-05,           2.1398,           3.3404,            2.016,         0.091634
    1,   539,         0.033611,         0.033583,       2.8687e-05,           1.9954,           2.8635,           1.8413,         0.083693
    1,   540,         0.028198,         0.028183,        1.515e-05,           1.8342,           2.6232,            1.338,         0.060819
    1,   541,         0.018634,         0.018617,       1.6823e-05,           1.5143,           2.1321,             1.41,         0.064092
    1,   542,          0.03196,          0.03186,       0.00010018,           1.9724,           2.7891,           3.4408,           0.1564
    1,   543,         0.033219,         0.033198,       2.0937e-05,            1.946,           2.8471,            1.573,         0.071498
