epoch, batch, loss, loss_self_forces, loss_self_energy, loss_coupl_forces, loss_coupl_energy, self_forces_rmse, self_energy_rmse, coupl_forces_rmse, coupl_energy_rmse
    1,    67,          0.68017,          0.32036,       0.00075634,          0.35713,        0.0019209,           6.5829,           7.0307,           2.0509,           3.3091
    1,    68,          0.51864,          0.25931,        0.0011748,          0.25477,        0.0033742,           5.9226,           8.7741,           1.7322,           4.3857
    1,    69,          0.49845,           0.2976,        0.0021889,          0.19563,        0.0030216,           6.3448,           11.974,           1.5179,           4.1502
    1,    70,          0.57837,          0.33597,        0.0019815,          0.23805,        0.0023636,           6.7414,           11.388,           1.6744,           3.6706
    1,    71,          0.58087,          0.32884,        0.0020529,          0.24905,       0.00092894,           6.6694,           11.596,           1.7127,           2.3012
    1,    72,          0.72083,          0.31309,       0.00046782,          0.40556,        0.0017131,           6.5078,           5.5311,           2.1855,            3.125
    1,    73,            0.683,          0.36022,        0.0011806,          0.31502,        0.0065784,           6.9804,           8.7863,           1.9262,           6.1237
    1,    74,          0.59079,          0.31256,       0.00078171,          0.27449,        0.0029676,           6.5022,           7.1463,            1.798,            4.113
    1,    75,           0.5489,          0.26664,       0.00087429,          0.27732,        0.0040653,           6.0057,           7.5683,           1.8073,            4.814
    1,    76,           0.5174,          0.23236,       0.00022746,          0.28415,       0.00066644,           5.6063,           3.8495,           1.8294,           1.9491
    1,    77,          0.70941,           0.2833,        0.0017364,           0.4169,        0.0074798,           6.1904,           10.664,           2.2159,           6.5298
    1,    78,          0.61793,          0.35018,       0.00039787,          0.26444,        0.0029134,           6.8824,           5.1091,           1.7648,           4.0752
    1,    79,          0.49563,          0.22841,       0.00044739,          0.26609,       0.00067836,           5.5585,           5.4098,           1.7703,           1.9665
    1,    80,          0.58115,          0.24152,        0.0011546,          0.33114,        0.0073364,           5.7158,           8.6893,           1.9749,           6.4669
    1,    81,           0.3877,          0.20184,        0.0012197,          0.18151,        0.0031257,           5.2252,           8.9376,           1.4621,           4.2211
    1,    82,          0.63064,          0.28452,        0.0028214,          0.34107,        0.0022263,           6.2037,           13.589,           2.0043,           3.5624
    1,    83,           0.5513,          0.30267,        0.0035656,          0.24073,        0.0043383,           6.3985,           15.279,           1.6838,            4.973
    1,    84,          0.65024,          0.32488,        0.0019206,          0.32126,        0.0021767,           6.6291,           11.214,           1.9452,           3.5225
    1,    85,          0.53444,          0.33062,         0.001684,           0.2003,        0.0018402,           6.6874,           10.502,            1.536,           3.2388
    1,    86,          0.58173,          0.28447,         0.002448,          0.29019,        0.0046213,           6.2032,           12.656,           1.8487,           5.1326
    1,    87,          0.39755,          0.19367,       0.00036346,          0.20152,        0.0019997,           5.1183,            4.866,           1.5406,           3.3763
    1,    88,          0.49798,          0.26503,       0.00083004,           0.2288,          0.00332,           5.9875,           7.3742,           1.6416,           4.3504
    1,    89,          0.57296,          0.27151,       0.00095344,          0.29561,        0.0048777,           6.0603,           7.8991,           1.8659,           5.2731
    1,    90,          0.49592,          0.31022,       0.00033092,          0.18478,        0.0005878,           6.4778,           4.6449,           1.4752,           1.8305
    1,    91,          0.62118,          0.35979,       0.00013926,          0.25436,        0.0069009,           6.9762,            3.012,           1.7308,            6.272
    1,    92,          0.51636,          0.23745,       0.00051067,          0.27397,        0.0044272,           5.6674,           5.7832,           1.7963,           5.0237
    1,    93,          0.45808,          0.24387,        0.0011515,          0.21106,         0.001996,           5.7435,           8.6863,           1.5766,           3.3732
    1,    94,          0.43956,          0.26834,        0.0023225,          0.16647,        0.0024253,           6.0248,           12.329,           1.4002,           3.7182
    1,    95,          0.45343,          0.22981,        0.0018724,          0.22104,       0.00070501,           5.5755,            11.08,           1.6135,           2.0047
    1,    96,          0.43402,          0.22996,        0.0010621,          0.20044,        0.0025605,           5.5772,           8.3369,           1.5365,           3.8205
    1,    97,          0.56186,           0.3467,       0.00044443,          0.21042,        0.0042881,           6.8482,           5.3887,           1.5743,           4.9441
    1,    98,          0.51619,          0.24972,       0.00045991,          0.26303,        0.0029761,            5.812,           5.4941,           1.7601,           4.1189
    1,    99,          0.58324,          0.23657,       0.00051997,          0.34248,         0.003673,           5.6569,           5.8343,           2.0084,           4.5758
    1,   100,          0.54103,          0.29843,       0.00035104,          0.24055,        0.0016888,           6.3536,           4.7939,           1.6832,           3.1027
    1,   101,          0.43515,          0.23959,       0.00015234,           0.1931,        0.0023081,           5.6929,           3.1633,           1.5081,           3.6273
    1,   102,          0.59176,          0.28726,       0.00030588,          0.29838,        0.0058145,           6.2335,           4.4778,           1.8746,           5.7572
    1,   103,          0.43717,          0.21981,       0.00020986,          0.21633,         0.000816,           5.4528,           3.7011,           1.5962,           2.1568
    1,   104,          0.42895,            0.254,        0.0013438,          0.17156,        0.0020478,           5.8615,           9.3822,           1.4215,           3.4166
    1,   105,          0.39085,          0.20436,       0.00077718,           0.1846,        0.0011205,           5.2576,           7.1314,           1.4745,           2.5274
    1,   106,          0.45595,          0.22224,       0.00061007,          0.23138,        0.0017211,           5.4829,           6.3229,           1.6508,           3.1323
    1,   107,          0.49234,          0.30941,       0.00025125,           0.1756,        0.0070803,           6.4693,           4.0587,           1.4381,           6.3531
    1,   108,          0.46637,          0.27851,       0.00050031,          0.18347,        0.0038826,           6.1379,           5.7274,             1.47,           4.7045
    1,   109,          0.39593,          0.20631,       0.00046683,          0.18562,        0.0035361,           5.2827,           5.5254,           1.4786,           4.4897
    1,   110,          0.30801,          0.15457,       0.00030364,          0.14848,        0.0046628,           4.5725,           4.4612,           1.3224,           5.1556
    1,   111,          0.48554,          0.24854,       0.00076683,          0.23543,       0.00080079,           5.7982,           7.0921,           1.6652,           2.1366
    1,   112,          0.59347,          0.22136,        0.0017129,          0.36784,        0.0025606,            5.472,           10.597,           2.0814,           3.8205
    1,   113,          0.50474,          0.22358,       0.00012941,          0.27821,        0.0028265,           5.4994,           2.9172,           1.8102,            4.014
    1,   114,          0.34973,          0.19119,       0.00036568,          0.15507,        0.0031064,           5.0855,           4.8853,           1.3514,           4.2081
    1,   115,          0.36137,          0.18151,       0.00037094,          0.17773,         0.001753,           4.9551,           4.9357,           1.4468,           3.1611
    1,   116,          0.56436,          0.23574,        0.0012296,          0.32418,        0.0032194,           5.6469,           8.9741,            1.954,            4.284
    1,   117,          0.38679,          0.20336,       0.00058552,          0.18195,       0.00090102,           5.2448,           6.1838,           1.4639,           2.2663
    1,   118,          0.38513,          0.17449,       0.00018154,          0.20886,        0.0016022,           4.8583,           3.4379,           1.5684,           3.0222
    1,   119,          0.52843,          0.23962,       0.00050722,          0.28501,        0.0032914,           5.6933,           5.7629,           1.8322,           4.3316
    1,   120,          0.42119,          0.23826,       2.6077e-05,          0.18109,        0.0018229,            5.677,           1.3034,           1.4604,           3.2236
    1,   121,          0.52895,          0.24887,        0.0010755,          0.27592,        0.0030898,            5.802,           8.3891,           1.8027,           4.1968
    1,   122,          0.39667,          0.19156,        0.0013974,          0.20003,        0.0036817,           5.0904,           9.5692,           1.5349,           4.5812
    1,   123,          0.40367,          0.16899,       0.00081472,          0.22954,        0.0043271,           4.7811,           7.2979,           1.6442,           4.9666
    1,   124,          0.43599,          0.22742,       0.00051048,          0.20602,        0.0020399,           5.5464,           5.7977,           1.5577,           3.4101
    1,   125,          0.41486,          0.20178,       0.00019249,          0.20806,        0.0048274,           5.2244,           3.5503,           1.5654,           5.2458
    1,   126,          0.65893,          0.23788,       0.00012981,          0.41696,        0.0039616,           5.6725,           2.9162,           2.2161,           4.7521
    1,   127,          0.56876,          0.19936,       0.00073081,          0.36614,        0.0025223,            5.193,           6.9239,           2.0766,           3.7919
    1,   128,          0.60822,          0.33213,       0.00098411,          0.27359,        0.0015192,           6.7027,           8.0346,           1.7951,           2.9429
    1,   129,          0.35788,          0.20586,        0.0011777,          0.15028,       0.00056797,            5.277,           8.7786,           1.3304,           1.7994
    1,   130,           0.3556,          0.21381,         0.001018,          0.13853,         0.002236,           5.3779,           8.1709,           1.2774,           3.5702
    1,   131,          0.32331,          0.19883,       0.00054602,          0.12332,       0.00061651,            5.186,           5.9856,           1.2052,           1.8747
    1,   132,          0.42897,          0.22896,       0.00044148,           0.1969,        0.0026589,           5.5652,           5.3817,           1.5229,           3.8932
    1,   133,          0.37586,          0.20155,       0.00036102,          0.17157,        0.0023673,           5.2215,           4.8537,           1.4215,           3.6735
    1,   134,          0.32849,          0.20625,       0.00045646,          0.11937,        0.0024177,           5.2819,           5.4556,           1.1857,           3.7124
    1,   135,          0.32611,          0.18157,       0.00016208,          0.14326,        0.0011167,           4.9559,            3.267,           1.2989,            2.523
    1,   136,          0.28567,          0.15449,       0.00062534,          0.12572,        0.0048275,           4.5714,           6.3997,           1.2169,           5.2459
    1,   137,          0.32146,          0.17286,       0.00036683,          0.14345,        0.0047857,           4.8355,           4.9052,           1.2998,           5.2231
    1,   138,          0.55735,           0.1849,       0.00036489,          0.36758,        0.0045069,           5.0011,           4.8898,           2.0807,           5.0687
    1,   139,          0.39031,          0.22733,       0.00022612,          0.16165,        0.0010956,           5.5454,           3.8466,           1.3798,           2.4991
    1,   140,          0.25218,          0.17298,        0.0002062,         0.075687,        0.0033038,           4.8372,           3.6624,          0.94416,           4.3397
    1,   141,          0.42263,          0.19154,       0.00047593,          0.22524,        0.0053704,           5.0901,           5.5806,           1.6288,            5.533
    1,   142,          0.48419,          0.21292,       5.7737e-05,          0.26807,        0.0031471,           5.3666,           1.9342,           1.7769,           4.2356
    1,   143,          0.33808,          0.17986,       0.00054526,          0.15629,        0.0013825,           4.9325,           5.9785,           1.3567,           2.8073
    1,   144,          0.37027,          0.16818,       0.00014886,          0.19905,        0.0028875,           4.7696,            3.118,           1.5311,           4.0571
    1,   145,          0.40617,          0.16683,       0.00027009,          0.23438,        0.0046841,           4.7505,           4.2024,           1.6615,           5.1674
    1,   146,          0.58277,          0.17973,       0.00079878,          0.40024,        0.0020093,           4.9307,           7.2258,           2.1712,           3.3844
    1,   147,          0.31891,          0.18515,       0.00059805,          0.12564,        0.0075192,           5.0045,           6.2556,           1.2165,            6.547
    1,   148,          0.33957,          0.17328,       0.00046073,          0.16321,        0.0026185,           4.8415,           5.4996,           1.3865,           3.8635
    1,   149,          0.35632,            0.213,       0.00031434,          0.13487,        0.0081345,           5.3677,           4.5363,           1.2603,           6.8096
    1,   150,            0.462,          0.22813,       0.00086427,          0.23211,       0.00089516,            5.555,           7.5163,           1.6534,           2.2589
    1,   151,          0.29865,          0.13356,       0.00013115,          0.16406,       0.00089751,           4.2505,           2.9312,           1.3901,           2.2619
    1,   152,          0.30707,          0.15052,       8.8958e-05,          0.15596,       0.00049309,           4.5123,           2.4169,           1.3553,           1.6766
    1,   153,          0.31005,          0.20644,       0.00023925,           0.1017,        0.0016676,           5.2844,           3.9579,           1.0944,           3.0832
    1,   154,          0.34895,           0.1802,       0.00028973,          0.16403,        0.0044332,           4.9371,           4.3585,           1.3899,           5.0271
    1,   155,          0.24444,          0.12247,       0.00058569,          0.12053,       0.00085236,           4.0701,           6.1905,           1.1915,           2.2043
    1,   156,          0.40249,          0.24105,       0.00080762,          0.15793,        0.0027048,           5.7102,           7.2753,           1.3638,           3.9267
    1,   157,          0.42744,          0.19956,       0.00056963,          0.22629,        0.0010295,           5.1955,           6.1096,           1.6325,           2.4226
    1,   158,          0.33813,           0.1893,       0.00071555,          0.14749,       0.00063635,           5.0602,           6.8464,            1.318,           1.9046
    1,   159,          0.48163,          0.19641,       0.00046091,           0.2818,        0.0029557,           5.1544,           5.4931,           1.8218,           4.1047
    1,   160,          0.36355,          0.17743,       0.00017092,          0.18504,       0.00090955,            4.899,           3.3465,           1.4763,            2.277
    1,   161,          0.37419,          0.15357,       0.00037622,           0.2194,       0.00084303,           4.5577,           4.9619,           1.6075,           2.1922
    1,   162,          0.40201,          0.16865,       0.00014863,          0.23165,        0.0015561,           4.7763,           3.1132,           1.6518,           2.9784
    1,   163,           0.3697,           0.1543,       0.00017111,          0.21413,        0.0010959,           4.5686,           3.3392,           1.5881,           2.4995
    1,   164,          0.33515,           0.1773,        3.928e-05,          0.15534,        0.0024642,           4.8972,           1.5955,           1.3526,           3.7479
    1,   165,          0.36301,          0.19174,       0.00016317,          0.17023,       0.00087057,           5.0927,           3.2693,            1.416,           2.2277
    1,   166,          0.28044,          0.12556,       0.00016775,          0.15121,        0.0034921,           4.1213,           3.3175,           1.3345,           4.4617
    1,   167,          0.31894,          0.17399,       5.4665e-05,          0.14286,        0.0020345,           4.8513,           1.9041,           1.2971,           3.4055
    1,   168,          0.29707,          0.19375,       9.2144e-05,          0.10213,        0.0010909,           5.1194,           2.4523,           1.0968,           2.4937
    1,   169,          0.34357,          0.12296,        0.0010222,          0.21577,        0.0038178,           4.0782,           8.1775,           1.5941,           4.6651
    1,   170,          0.43772,          0.17854,       0.00041454,          0.25252,        0.0062414,           4.9144,           5.2148,           1.7246,           5.9648
    1,   171,          0.32997,          0.16786,       0.00091826,           0.1598,        0.0013933,           4.7651,           7.7546,           1.3719,           2.8183
    1,   172,          0.45533,          0.21902,       0.00011164,          0.23395,        0.0022418,            5.443,           2.7111,             1.66,           3.5748
    1,   173,          0.35707,          0.15645,        0.0001585,          0.19328,        0.0071855,           4.6003,           3.2124,           1.5088,              6.4
    1,   174,          0.29016,          0.16297,        1.609e-05,          0.12541,        0.0017633,           4.6952,           1.0282,           1.2153,           3.1704
    1,   175,          0.32174,           0.2077,       0.00016751,          0.11211,        0.0017739,           5.3004,           3.3061,           1.1491,             3.18
    1,   176,            0.389,           0.1526,        5.863e-05,          0.23193,         0.004424,           4.5433,           1.9516,           1.6528,           5.0218
    1,   177,          0.26486,          0.17925,       0.00028956,         0.084137,        0.0011851,           4.9241,            4.352,          0.99547,           2.5991
    1,   178,          0.35129,           0.2071,       0.00033729,          0.14068,         0.003171,           5.2928,           4.6973,           1.2872,           4.2516
    1,   179,          0.26802,           0.1923,       0.00035207,         0.074552,        0.0008114,           5.1002,           4.8082,          0.93705,           2.1507
    1,   180,          0.43565,           0.1874,       0.00020189,          0.24412,        0.0039315,           5.0348,           3.6384,           1.6956,           4.7341
    1,   181,          0.42528,          0.20171,       0.00044081,          0.21896,        0.0041756,           5.2235,           5.3762,           1.6059,           4.8788
    1,   182,          0.35808,          0.19269,       0.00018192,          0.16271,        0.0025015,           5.1053,           3.4482,           1.3843,           3.7762
    1,   183,          0.53385,          0.16998,       0.00070867,          0.35928,        0.0038765,           4.7951,           6.8022,           2.0571,           4.7008
    1,   184,          0.27621,          0.12138,       0.00041397,          0.15286,        0.0015483,            4.052,           5.1997,           1.3418,           2.9709
    1,   185,          0.29329,          0.13655,       0.00030379,          0.15481,        0.0016325,           4.2977,             4.46,           1.3503,           3.0506
    1,   186,          0.31529,          0.14674,       0.00051588,          0.16238,        0.0056566,           4.4553,           5.8167,           1.3829,           5.6785
    1,   187,          0.42798,           0.1477,       0.00033722,          0.27809,        0.0018466,           4.4698,           4.6916,           1.8098,           3.2445
    1,   188,           0.3929,          0.16298,       0.00020508,           0.2277,        0.0020212,           4.6953,           3.6628,           1.6376,           3.3944
    1,   189,          0.45314,          0.18929,        0.0002489,          0.26085,        0.0027521,           5.0601,           4.0387,           1.7528,           3.9608
    1,   190,          0.40645,          0.15853,       0.00014124,          0.24495,        0.0028236,           4.6308,           3.0445,           1.6985,           4.0119
    1,   191,          0.34511,          0.15249,       8.9004e-05,          0.19043,        0.0021043,           4.5417,           2.4155,           1.4976,           3.4635
    1,   192,          0.34674,          0.19152,        0.0002978,          0.15277,        0.0021527,           5.0898,           4.4137,           1.3414,            3.503
    1,   193,          0.28376,          0.13695,         0.000427,          0.14488,        0.0015001,           4.3041,           5.2856,           1.3063,           2.9243
    1,   194,          0.37821,          0.17624,       0.00029697,          0.20011,        0.0015685,           4.8826,           4.3958,           1.5352,           2.9902
    1,   195,          0.36463,          0.20087,        0.0013551,          0.16139,        0.0010078,           5.2126,           9.4159,           1.3787,           2.3968
    1,   196,          0.26353,          0.15942,       0.00091563,          0.10173,        0.0014685,           4.6437,           7.7476,           1.0946,           2.8933
    1,   197,          0.38497,          0.14956,       0.00072653,          0.23244,        0.0022405,           4.4978,           6.8899,           1.6546,           3.5738
    1,   198,          0.29422,          0.17237,       0.00059466,          0.12062,       0.00063694,           4.8287,           6.2406,           1.1919,           1.9055
    1,   199,          0.25277,          0.12297,       0.00098108,           0.1282,       0.00061539,           4.0784,           8.0069,           1.2288,            1.873
    1,   200,          0.29832,          0.15206,       0.00063464,          0.14477,       0.00085023,           4.5353,           6.4521,           1.3058,           2.2015
    1,   201,          0.27172,          0.19418,       0.00031104,         0.074689,        0.0025358,           5.1251,            4.509,          0.93791,            3.802
    1,   202,          0.31203,          0.14779,       0.00014414,          0.16262,        0.0014775,           4.4712,           3.0755,           1.3839,           2.9021
    1,   203,          0.28874,          0.12912,       2.8558e-05,          0.15765,        0.0019468,           4.1791,           1.3692,           1.3627,           3.3313
    1,   204,          0.22667,           0.1364,       4.9768e-05,         0.087562,        0.0026572,           4.2954,           1.8143,           1.0155,           3.8919
    1,   205,          0.42591,          0.13417,       7.9801e-05,          0.29031,        0.0013547,           4.2601,           2.2836,           1.8491,           2.7789
    1,   206,          0.39548,          0.19509,       0.00013682,          0.19976,       0.00048583,            5.137,           2.9887,           1.5339,           1.6642
    1,   207,          0.30927,          0.17776,       5.8754e-05,          0.12997,        0.0014881,           4.9035,           1.9644,           1.2373,           2.9126
    1,   208,           0.2839,          0.11155,       0.00017668,          0.17111,        0.0010612,           3.8844,           3.3925,           1.4196,           2.4596
    1,   209,          0.25889,          0.12358,       7.5996e-05,          0.13149,        0.0037467,           4.0885,           2.2337,           1.2445,           4.6215
    1,   210,          0.37452,          0.21332,       0.00026725,          0.15944,        0.0014885,           5.3717,           4.1802,           1.3704,           2.9129
    1,   211,          0.37668,          0.17811,         0.000348,           0.1963,        0.0019247,           4.9084,           4.7739,           1.5205,           3.3123
    1,   212,          0.25321,          0.12046,       0.00062506,          0.13036,        0.0017635,           4.0366,           6.4027,           1.2391,           3.1706
    1,   213,          0.39408,          0.16317,       0.00035505,          0.22881,        0.0017409,            4.698,           4.8253,           1.6416,           3.1502
    1,   214,          0.34506,          0.19458,       5.5176e-05,          0.14904,        0.0013867,           5.1304,           1.9077,           1.3249,           2.8115
    1,   215,          0.29576,          0.12651,       0.00023266,          0.16785,        0.0011651,           4.1368,           3.8915,            1.406,           2.5771
    1,   216,           0.5043,          0.14661,        0.0003872,          0.35591,        0.0013883,           4.4532,           5.0302,           2.0474,           2.8132
    1,   217,          0.34122,          0.11117,       0.00054503,          0.22535,         0.004166,           3.8778,           5.9775,           1.6291,           4.8732
    1,   218,          0.30209,          0.10303,        0.0005369,          0.19545,        0.0030791,           3.7331,            5.935,           1.5172,           4.1895
    1,   219,           0.3656,          0.14501,       0.00015791,          0.21914,        0.0012939,           4.4288,             3.22,           1.6066,           2.7159
    1,   220,          0.47914,          0.16959,       7.2533e-05,          0.30703,        0.0024395,           4.7896,           2.1842,           1.9016,           3.7291
    1,   221,          0.23814,          0.14445,       0.00031283,         0.092234,        0.0011449,           4.4203,           4.5239,           1.0423,           2.5547
    1,   222,          0.28058,          0.13307,       0.00018273,            0.143,        0.0043323,           4.2427,           3.4626,           1.2978,           4.9695
    1,   223,          0.31776,          0.12401,        7.247e-05,          0.19125,        0.0024173,           4.0957,           2.1814,           1.5008,           3.7121
    1,   224,          0.29382,            0.127,       7.2711e-05,          0.16448,        0.0022672,           4.1447,           2.1762,           1.3919,            3.595
