epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_rmse, e/N_rmse
    4,   176,         0.056299,         0.055911,        0.0003888,           1.6659,           2.4052,           4.4098,          0.20044
    4,   177,         0.092946,         0.092759,       0.00018605,           2.0618,           3.0981,           3.0452,          0.13842
    4,   178,          0.05516,         0.054723,       0.00043756,           1.6952,           2.3796,           4.6826,          0.21285
    4,   179,         0.050054,         0.049838,       0.00021638,           1.5821,           2.2709,           3.2936,          0.14971
    4,   180,           0.0539,         0.053646,       0.00025391,           1.7067,            2.356,           3.5673,          0.16215
    4,   181,          0.04947,         0.049172,       0.00029814,           1.5883,           2.2557,           3.8613,          0.17551
    4,   182,         0.041038,         0.040778,       0.00025998,           1.5278,           2.0541,           3.5988,          0.16358
    4,   183,          0.03403,         0.033956,       7.4647e-05,           1.3058,           1.8744,           1.9315,         0.087795
    4,   184,         0.042726,         0.042323,       0.00040226,           1.4904,           2.0927,           4.4992,          0.20451
    4,   185,         0.059364,         0.059338,        2.606e-05,           1.6826,           2.4779,           1.1364,         0.051655
    4,   186,         0.060821,         0.060729,       9.1989e-05,           1.8287,           2.5067,            2.144,         0.097456
    4,   187,         0.077371,         0.077305,         6.52e-05,           1.8765,           2.8282,           1.8032,         0.081962
    4,   188,         0.060689,         0.060661,       2.7685e-05,           1.6896,           2.5053,           1.1854,          0.05388
    4,   189,         0.056534,         0.056407,       0.00012746,           1.6867,           2.4159,           2.5207,          0.11458
    4,   190,         0.071732,         0.071722,       9.8236e-06,           1.8607,           2.7242,          0.70267,          0.03194
    4,   191,          0.05064,         0.050515,       0.00012438,           1.6473,           2.2862,            2.503,          0.11377
    4,   192,         0.057512,         0.057325,       0.00018666,           1.6065,           2.4355,           3.0594,          0.13906
    4,   193,          0.10111,          0.10095,       0.00015376,           1.8489,            3.232,           2.7794,          0.12633
    4,   194,         0.072544,         0.072257,       0.00028698,           1.8465,           2.7343,           3.7965,          0.17257
    4,   195,         0.041605,         0.041449,       0.00015634,           1.5362,           2.0709,           2.7872,          0.12669
    4,   196,         0.052391,         0.052149,       0.00024249,           1.6467,           2.3229,           3.4806,          0.15821
    4,   197,         0.048857,         0.048587,       0.00026981,            1.531,           2.2422,           3.6695,          0.16679
    4,   198,          0.06076,         0.060481,       0.00027862,           1.7453,           2.5016,           3.7337,          0.16971
    4,   199,          0.07072,         0.070403,       0.00031658,           1.9071,            2.699,           3.9826,          0.18103
    4,   200,         0.043186,         0.042869,       0.00031619,            1.483,           2.1061,            3.978,          0.18082
    4,   201,         0.053798,         0.053494,       0.00030398,           1.7126,           2.3527,            3.896,          0.17709
    4,   202,         0.046815,         0.046586,       0.00022901,           1.5153,           2.1955,           3.3868,          0.15394
    4,   203,         0.057262,          0.05694,       0.00032191,           1.6751,           2.4273,           4.0188,          0.18267
    4,   204,         0.040086,         0.039493,       0.00059312,           1.4704,           2.0215,           5.4448,          0.24749
    4,   205,         0.041207,         0.041068,       0.00013907,           1.4885,           2.0614,           2.6347,          0.11976
    4,   206,           0.0408,         0.040455,       0.00034471,           1.4071,            2.046,           4.1549,          0.18886
    4,   207,         0.051374,         0.051118,       0.00025646,            1.688,           2.2998,           3.5851,          0.16296
    4,   208,         0.045955,         0.045786,       0.00016885,           1.5437,           2.1766,           2.9106,           0.1323
    4,   209,         0.042032,         0.041931,       0.00010055,           1.5495,            2.083,           2.2408,          0.10186
    4,   210,         0.040527,         0.040486,       4.0723e-05,           1.4775,           2.0467,            1.421,         0.064592
    4,   211,         0.038151,         0.038061,       8.9672e-05,            1.416,           1.9845,           2.1288,         0.096762
    4,   212,         0.045505,         0.045398,       0.00010659,           1.5944,           2.1674,           2.3093,          0.10497
    4,   213,         0.036124,         0.035776,       0.00034724,           1.3831,            1.924,           4.1649,          0.18931
    4,   214,         0.036759,         0.036633,        0.0001258,           1.3497,           1.9469,           2.5073,          0.11397
    4,   215,         0.057101,         0.056974,       0.00012704,            1.721,            2.428,           2.5284,          0.11493
    4,   216,         0.043774,         0.043708,        6.627e-05,           1.5084,           2.1266,           1.8208,         0.082763
    4,   217,         0.050593,         0.050464,       0.00012832,           1.5737,           2.2851,           2.5266,          0.11484
    4,   218,          0.05119,         0.051018,       0.00017139,           1.6517,           2.2976,           2.9237,           0.1329
    4,   219,         0.054625,         0.054482,       0.00014295,           1.6846,           2.3743,           2.6766,          0.12166
    4,   220,         0.058142,         0.057909,       0.00023296,           1.7708,           2.4479,            3.412,          0.15509
    4,   221,         0.053341,          0.05286,       0.00048039,           1.6496,           2.3387,            4.896,          0.22254
    4,   222,         0.062877,         0.062612,       0.00026519,           1.6896,           2.5453,           3.6364,          0.16529
    4,   223,         0.058271,         0.058194,       7.6491e-05,           1.6996,           2.4539,           1.9563,         0.088923
    4,   224,         0.060825,         0.060713,       0.00011192,           1.8314,           2.5064,           2.3628,           0.1074
    4,   225,         0.054244,         0.054189,       5.4352e-05,           1.5626,           2.3679,           1.6451,         0.074776
    4,   226,         0.042173,         0.042057,       0.00011586,           1.4399,           2.0861,           2.4171,          0.10987
    4,   227,         0.055491,         0.055299,       0.00019177,           1.6777,            2.392,           3.1014,          0.14097
    4,   228,         0.049334,         0.049306,       2.7888e-05,              1.7,           2.2587,           1.1881,         0.054003
    4,   229,         0.033423,         0.033203,       0.00022001,           1.3687,           1.8535,           3.3131,           0.1506
    4,   230,         0.060131,         0.059827,       0.00030403,           1.7028,            2.488,           3.9024,          0.17738
    4,   231,         0.068992,         0.068185,       0.00080744,           1.8215,           2.6562,           6.3626,          0.28921
    5,     1,         0.041889,         0.041604,       0.00028519,           1.4645,           2.0748,           3.7768,          0.17167
    5,     2,          0.03911,         0.039073,        3.722e-05,           1.4426,           2.0107,           1.3736,         0.062439
    5,     3,           0.0483,         0.048235,       6.4705e-05,           1.5075,            2.234,           1.7986,         0.081755
    5,     4,         0.049272,         0.049224,       4.7357e-05,           1.6632,           2.2568,           1.5386,         0.069938
    5,     5,         0.055873,         0.055787,       8.6723e-05,           1.6432,           2.4026,           2.0811,         0.094596
    5,     6,         0.046363,         0.045985,        0.0003782,           1.5561,           2.1813,           4.3524,          0.19784
    5,     7,         0.053174,         0.052936,        0.0002375,           1.6402,           2.3404,           3.4572,          0.15714
    5,     8,         0.049412,         0.049253,       0.00015947,           1.5472,           2.2575,           2.8289,          0.12859
    5,     9,          0.05235,         0.052265,       8.5085e-05,           1.7003,           2.3255,            2.054,         0.093362
    5,    10,         0.060894,         0.060754,       0.00014002,             1.79,           2.5072,           2.6467,          0.12031
    5,    11,         0.047896,         0.047846,       5.0155e-05,           1.5924,            2.225,           1.5823,          0.07192
    5,    12,         0.046434,         0.046344,       8.9448e-05,           1.5948,           2.1898,           2.1178,         0.096262
